50 136
15 44 6
7 46 12
13 20 18
4 46 31
9 47 35
45 48 38
10 25 38
17 36 43
30 35 44
29 32 53
16 39 54
29 38 56
16 24 59
23 48 66
17 23 69
27 39 73
3 40 77
2 30 78
28 37 81
11 27 85
8 25 88
5 22 89
5 21 90
15 19 95
2 5 96
1 33 97
37 42 98
34 47 98
12 18 99
14 41 104
6 34 106
11 50 119
22 38 123
9 43 126
1 13 126
12 28 127
22 46 131
7 13 133
34 44 134
40 43 134
8 28 143
1 19 144
20 50 147
26 31 152
14 35 159
6 17 162
18 21 172
10 49 225
26 49 262
43 45 355
9 33 170
12 32 199
40 45 454
12 21 209
11 24 191
19 33 145
7 15 293
39 50 277
43 47 135
18 42 181
6 44 135
1 11 197
34 36 186
7 32 250
10 37 276
32 38 106
33 44 182
25 49 235
15 49 296
18 28 183
4 50 238
39 41 469
8 37 178
23 43 287
2 22 117
25 32 199
38 46 158
23 36 97
13 19 180
2 4 212
8 32 223
48 49 336
4 20 136
7 19 212
1 24 186
32 49 315
3 9 192
21 30 218
17 48 119
31 49 333
3 39 395
11 39 158
3 24 314
6 49 265
41 50 220
26 37 608
12 38 227
2 35 121
31 48 274
9 24 253
24 27 124
9 34 132
4 41 334
6 15 141
35 41 219
36 43 195
4 35 283
3 43 139
23 45 70
7 29 200
10 26 363
5 38 163
21 35 258
19 44 100
18 35 429
1 20 136
4 7 33
16 27 77
7 38 167
33 34 184
8 12 207
31 45 281
14 18 588
21 38 219
4 22 132
24 39 111
4 13 134
2 21 158
11 20 193
24 33 180
6 36 174
8 10 103
34 43 207
28 42 115
6 48 236
15 32 343
