50 138
17 47 20
7 36 30
5 23 32
6 20 41
31 40 41
1 15 47
25 45 57
8 18 57
28 34 58
12 32 60
24 50 60
26 42 61
32 47 68
1 32 69
23 35 75
39 49 77
30 49 77
28 38 88
27 36 89
14 39 90
3 31 90
33 42 92
18 29 93
3 37 93
14 16 101
17 38 101
2 26 103
9 29 103
26 41 106
9 21 106
25 30 114
5 9 116
41 48 116
43 48 124
20 40 126
6 21 131
7 38 135
13 19 138
11 46 138
13 44 142
20 44 148
34 50 155
4 11 161
26 29 165
4 5 167
16 22 168
7 10 175
10 49 177
21 27 180
22 25 317
36 39 222
6 40 148
24 44 372
6 27 258
2 46 282
6 28 209
16 33 195
23 37 170
1 45 394
36 49 187
2 29 188
24 34 213
8 39 236
32 38 177
35 40 133
31 44 200
12 24 202
5 11 275
3 19 315
41 46 360
34 44 252
9 18 117
38 47 120
30 39 88
37 40 171
3 13 298
17 32 80
8 29 129
11 29 300
10 25 189
41 42 113
12 15 72
4 46 294
27 28 238
2 41 115
23 40 183
10 45 179
21 35 126
13 24 443
6 44 186
42 48 138
8 26 181
14 30 129
12 50 166
14 33 186
22 43 284
7 49 189
47 50 185
18 21 170
7 27 118
4 37 181
26 33 148
10 32 221
19 37 406
7 32 233
33 48 161
6 35 148
8 33 180
15 24 236
34 47 153
4 23 169
27 38 190
5 35 94
1 10 238
22 30 283
5 29 178
16 43 190
34 38 128
15 32 87
13 31 249
19 24 571
12 47 74
8 27 187
25 49 151
6 34 245
18 27 183
9 35 139
20 31 159
46 48 471
22 45 359
33 39 239
3 40 121
33 43 168
37 46 473
2 11 242
19 46 878
16 30 200
27 39 231
