100 285
91 94 5
58 95 7
25 90 13
15 16 18
47 54 18
67 73 20
60 63 21
27 74 22
51 67 23
17 92 23
39 93 24
34 56 25
2 62 26
10 83 27
72 87 28
80 87 29
22 41 32
42 72 33
35 84 34
18 81 34
23 95 36
21 49 37
44 99 39
20 54 39
28 72 42
20 33 42
40 69 43
30 100 44
4 26 44
7 80 45
16 66 48
38 86 48
20 93 48
9 77 51
26 49 51
52 59 52
62 78 52
22 100 52
12 32 53
19 99 55
11 86 55
3 89 55
32 36 59
7 96 59
33 52 59
48 51 60
7 82 61
4 29 62
71 79 63
27 85 65
15 70 67
25 67 67
1 35 69
8 56 70
31 50 71
45 76 72
14 61 73
29 36 73
56 97 73
42 55 73
43 66 74
28 88 75
29 53 76
50 88 77
45 46 77
43 45 78
25 65 82
36 57 82
24 43 88
37 63 88
5 64 91
21 62 92
30 34 94
74 77 94
68 98 94
24 74 96
55 65 96
59 99 97
18 75 100
48 71 100
59 68 101
11 44 102
21 73 103
3 71 104
1 11 104
19 69 106
12 38 107
17 37 107
13 46 108
41 47 109
57 85 118
6 81 122
56 64 122
60 91 125
5 95 125
81 94 127
83 97 133
75 78 144
14 79 157
44 59 134
82 89 199
23 40 143
23 74 169
8 34 77
67 90 79
23 54 196
57 77 176
49 62 95
31 90 102
42 87 60
41 58 138
5 24 154
36 53 109
19 40 113
13 96 393
82 87 61
24 64 205
13 50 147
6 94 162
53 75 192
24 45 126
88 96 192
11 17 234
22 39 184
4 36 85
8 98 608
37 91 214
32 57 93
39 47 112
6 61 241
19 59 136
9 26 239
6 18 144
33 54 62
13 70 343
29 78 136
23 41 153
9 31 262
61 78 209
55 82 119
69 85 216
37 84 328
60 94 128
61 75 184
30 41 61
40 54 185
64 70 188
84 91 532
26 57 170
65 89 147
8 10 238
39 68 200
57 69 187
71 89 151
65 90 90
23 58 36
48 79 113
21 79 141
84 98 256
12 17 186
5 30 159
14 78 209
11 37 274
31 46 215
28 42 59
31 55 157
11 84 193
21 48 109
75 81 129
34 100 99
30 58 127
39 52 97
5 58 128
14 89 313
8 100 137
17 63 128
1 68 197
4 49 77
78 79 160
30 56 119
24 66 160
51 65 85
60 75 179
9 74 114
41 54 125
17 38 176
10 97 159
25 51 71
19 33 153
31 73 193
17 53 170
68 84 224
19 54 161
55 89 153
42 88 77
5 74 176
28 96 120
7 87 64
51 73 41
10 70 154
18 61 181
13 76 122
35 68 206
2 79 117
5 23 160
16 76 147
26 77 213
26 36 124
33 59 104
20 39 72
8 22 186
44 69 141
31 65 150
55 88 140
64 66 203
31 88 113
70 76 222
12 53 126
15 66 48
9 24 131
20 47 42
5 56 153
2 78 56
23 85 176
55 87 103
82 96 120
53 92 147
70 83 163
60 81 160
77 85 94
52 68 130
26 73 147
1 59 184
29 62 118
23 27 164
9 46 136
28 80 50
39 98 260
23 69 183
66 76 122
48 65 122
8 97 81
14 71 189
3 48 127
46 76 107
72 80 48
45 66 115
33 93 56
2 21 94
21 26 87
8 39 349
73 90 91
37 60 109
32 53 103
9 45 164
12 69 173
29 49 120
13 31 183
12 86 149
12 57 126
6 14 313
1 44 120
70 96 727
53 78 149
22 47 112
66 70 114
63 92 139
64 83 152
41 100 62
33 39 78
64 97 131
80 96 85
19 44 58
60 92 153
11 38 97
44 86 122
3 65 120
9 73 270
13 88 217
74 85 88
69 86 138
16 70 76
1 84 102
75 92 203
48 73 76
